label,hdate,hdate_end,hdate_birth,hdate_death,url,description
Charles II,circa1m 10 August 843 ,6 October 877,13 June 823,6 October 877,https://en.wikipedia.org/wiki/Charles_the_Bald,Charles II (the bald)
Louis II,6 October 877,10 April 879,1 November 846,10 April 879,https://en.wikipedia.org/wiki/Louis_the_Stammerer,Louis II (the Stammerer)
Louis III,10 April 879,5 August 882,863,5 August 882,https://en.wikipedia.org/wiki/Louis_III_of_France,
Carloman II,10 April 879,6 December 884,866,6 December 884,https://en.wikipedia.org/wiki/Carloman_II,
Charles (III) the Fat,6 December 884,11 November 887,839,13 January 888,https://en.wikipedia.org/wiki/Charles_the_Fat,
Odo,29 February 888,3 January 898,c. 858 ,3 January 898,https://en.wikipedia.org/wiki/Odo_of_France,
Charles III,3 January 898,29 June 922,17 September 879,7 October 929,https://en.wikipedia.org/wiki/Charles_the_Simple,Charles III (the Simple)
Robert I,29 June 922,15 June 923,865,15 June 923,https://en.wikipedia.org/wiki/Robert_I_of_France,
Rodolph,15 June 923,14 January 936,c. 890,14 January 936,https://en.wikipedia.org/wiki/Rudolph_of_France,
Louis IV,19 June 936,10 September 954,921,10 September 954,https://en.wikipedia.org/wiki/Louis_IV_of_France,Louis IV (from overseas)
Lothair,10 September 954,2 March 986,941,2 March 986,https://en.wikipedia.org/wiki/Lothair_of_France,
Louis V,2 March 986,22 May 987,967,22 May 987,https://en.wikipedia.org/wiki/Louis_V_of_France,Louis V (the do-nothing)
Hugh,1 June 987,24 October 996,c. 940,24 October 996,https://en.wikipedia.org/wiki/Hugh_Capet,Hugh (Capet)
Robert II,24 October 996,20 July 1031,c. 970,20 July 1031,https://en.wikipedia.org/wiki/Robert_II_of_France,Robert II (the Pious)
Henry I,20 July 1031,4 August 1060,c. 1005,4 August 1060,https://en.wikipedia.org/wiki/Henry_I_of_France,
Philip I,4 August 1060,29 July 1108,1052,29 July 1108,https://en.wikipedia.org/wiki/Philip_I_of_France,Philip I (the Amorous)
Louis VI,29 July 1108,1 August 1137,1081,1 August 1137,https://en.wikipedia.org/wiki/Louis_VI_of_France,Louis VI (the Fat)
Louis VII,1 August 1137,18 September 1180,1120,18 September 1180,https://en.wikipedia.org/wiki/Louis_VII_of_France,Louis VII (the Young)
Philip II,18 September 1180,14 July 1223,21 August 1165,14 July 1223,https://en.wikipedia.org/wiki/Philip_II_of_France,Philip II (Augustus)
Louis VIII,14 July 1223,8 November 1226,5 September 1187,8 November 1226,https://en.wikipedia.org/wiki/Louis_VIII_of_France,Louis VIII (the Lion)
Louis IX,8 November 1226,25 August 1270,25 April 1214,25 August 1270,https://en.wikipedia.org/wiki/Louis_IX_of_France,Louis IX (the Saint)
Philip III,25 August 1270,5 October 1285,3 April 1245,5 October 1285,https://en.wikipedia.org/wiki/Philip_III_of_France,Philip III (the Bold)
Philip IV,5 October 1285,29 November 1314,1268,29 November 1314,https://en.wikipedia.org/wiki/Philip_IV_of_France,Philip IV (the Fair)
Louis X,29 November 1314,5 June 1316,3 October 1289,5 June 1316,https://en.wikipedia.org/wiki/Louis_X_of_France,Louis X (the Quarreller)
John I,15 November 1316,20 November 1316,15 November 1316,20 November 1316,https://en.wikipedia.org/wiki/John_I_of_France,John I (the Posthumous)
Philip V,20 November 1316,3 January 1322,1294,3 January 1322,https://en.wikipedia.org/wiki/Philip_V_of_France,Philip V (the Tall)
Charles IV,3 January 1322,1 February 1328,1294,1 February 1328,https://en.wikipedia.org/wiki/Charles_IV_of_France,Charles IV (the Fair)
Philip VI,1 April 1328,22 August 1350,1293,22 August 1350,https://en.wikipedia.org/wiki/Philip_VI_of_France,Philip VI (the Fortunate)
John II,22 August 1350,8 April 1364,April 1319,8 April 1364,https://en.wikipedia.org/wiki/John_II_of_France,John II (the Good)
Charles V,8 April 1364,16 September 1380,21 January 1337,16 September 1380,https://en.wikipedia.org/wiki/Charles_V_of_France,Charles V (the Wise)
Charles VI,16 September 1380,21 October 1422,3 December 1368,21 October 1422,https://en.wikipedia.org/wiki/Charles_VI_of_France,Charles VI (the Mad/the Beloved)
Charles VII,21 October 1422,22 July 1461,22 February 1403,22 July 1461,https://en.wikipedia.org/wiki/Charles_VII_of_France,Charles VII (the Victorious)
Louis XI,22 July 1461,30 August 1483,3 July 1423,30 August 1483,https://en.wikipedia.org/wiki/Louis_XI,Louis XI (the Prudent)
Charles VIII,30 August 1483,7 April 1498,30 June 1470,7 April 1498,https://en.wikipedia.org/wiki/Charles_VIII_of_France,Charles VIII (the Affable)
Louis XII,7 April 1498,1 January 1515,27 June 1462,1 January 1515,https://en.wikipedia.org/wiki/Louis_XII,Louis XII (Father of the People)
Francis I,1 January 1515,31 March 1547,12 September 1494,31 March 1547,https://en.wikipedia.org/wiki/List_of_French_monarchs,Francis I (the Father of Letters)
Henry II,31 March 1547,10 July 1559,31 March 1519,10 July 1559,https://en.wikipedia.org/wiki/Henry_II_of_France,
Francis II,10 July 1559,5 December 1560,20 January 1544,5 December 1560,https://en.wikipedia.org/wiki/Francis_II_of_France,
Charles IX,5 December 1560,30 May 1574,27 June 1550,30 May 1574,https://en.wikipedia.org/wiki/Charles_IX_of_France,
Henry III,30 May 1574,2 August 1589,19 September 1551,2 August 1589,https://en.wikipedia.org/wiki/Henry_III_of_France,
Henry IV,2 August 1589,14 May 1610,13 December 1553,14 May 1610,https://en.wikipedia.org/wiki/Henry_IV_of_France,Henry IV (the Great)
Louis XIII,14 May 1610,14 May 1643,27 September 1601,14 May 1643,https://en.wikipedia.org/wiki/Louis_XIII,Louis XIII (the Just)
Louis XIV,14 May 1643,1 September 1715,5 September 1638,1 September 1715,https://en.wikipedia.org/wiki/Louis_XIV,Louis XIV (the Sun King)
Louis XV,1 September 1715,10 May 1774,15 February 1710,10 May 1774,https://en.wikipedia.org/wiki/Louis_XV,Louis XV (the Beloved)
Louis XVI,10 May 1774, 21 September 1792,23 August 1754,21 January 1793,https://en.wikipedia.org/wiki/Louis_XVI,
Napoleon I,18 May 1804,2 April 1814,15 August 1769,5 May 1821,https://en.wikipedia.org/wiki/Napoleon,
Louis XVIII,3 May 1814,20 March 1815,17 November 1755,16 September 1824,https://en.wikipedia.org/wiki/Louis_XVIII,Louis XVIII (the Desired)
Napoleon I,20 March 1815,22 June 1815,15 August 1769,5 May 1821,https://en.wikipedia.org/wiki/Napoleon,
Louis XVIII,8 July 1815,16 September 1824,17 November 1755,16 September 1824,https://en.wikipedia.org/wiki/Louis_XVIII,Louis XVIII (the Desired)
Charles X,16 September 1824,2 August 1830,9 October 1757,6 November 1836,https://en.wikipedia.org/wiki/Charles_X,
Louis Philippe I,9 August 1830,24 February 1848,6 October 1773,26 August 1850,https://en.wikipedia.org/wiki/Louis_Philippe_I,Louis Philippe I (the Citizen King)
