label,hdate,hdate_end,approx_year,description,url,max_xrange_years
Microscopes,c. 1620,,1620,,https://en.wikipedia.org/wiki/Microscope#History,
Blood Circulation,1628,,1628,,https://en.wikipedia.org/wiki/William_Harvey#De_Motu_Cordis,
Linnaeus taxonomy,1735,,1735,,https://en.wikipedia.org/wiki/Carl_Linnaeus#Systema_Naturae,
Oxygen,1772,1775,1772,"Oxygen (Lavoisier, Priestly)",https://en.wikipedia.org/wiki/Antoine_Lavoisier#Oxygen_theory_of_combustion,
Smallpox Vaccine,1796,,1796,,https://en.wikipedia.org/wiki/Vaccination#History,
Morphine,1804,,1804,,https://en.wikipedia.org/wiki/Morphine#History,
General Anaesthetic,1804,,1804,,https://en.wikipedia.org/wiki/Hanaoka_Seish%C5%AB#Use_of_ts%C5%ABsensan_as_a_general_anesthetic,
Stethoscope,1816,,1816,,https://en.wikipedia.org/wiki/Stethoscope#History,
Organic Chemistry,1828,,1828,,https://en.wikipedia.org/wiki/Friedrich_W%C3%B6hler#Organic_chemistry,
Cell Theory,1839,,1839,,https://en.wikipedia.org/wiki/Cell_theory#Cell_theory,
Epidemiology,1849,,1849,Epidemiology (Snow),https://en.wikipedia.org/wiki/History_of_medicine#Statistical_methods,
Germ Theory,1830,1883,1850,Development of germ theory of disease,https://en.wikipedia.org/wiki/History_of_medicine#Germ_theory_and_bacteriology,
Mendel,1856,1863,1856,Mendel’s experiments on heredity,https://en.wikipedia.org/wiki/Gregor_Mendel#Experiments_on_plant_hybridization,
Antiseptic Surgery,1867,,1867,,"https://en.wikipedia.org/wiki/Joseph_Lister#On_a_new_method_of_treating_compound_fracture,_abscess",
Nucleic Acids,1869,,1869,,https://en.wikipedia.org/wiki/Nucleic_acid#History,
Origin of Species,24 November 1859,,1859,Darwin’s Origin of Species published,https://en.wikipedia.org/wiki/On_the_Origin_of_Species,
Electrocardiography,1887,,1887,,https://en.wikipedia.org/wiki/Electrocardiography#History,
Viruses,1898,,1898,Viruses discovered,https://en.wikipedia.org/wiki/Martinus_Beijerinck#Scientific_career,
Blood Groups,1901,,1901,,https://en.wikipedia.org/wiki/History_of_medicine#Blood_groups,
Chromosomes,1902,,1902,,https://en.wikipedia.org/wiki/Boveri%E2%80%93Sutton_chromosome_theory,
Chromatography,1900,1906,1906,,https://en.wikipedia.org/wiki/Chromatography#History,
Vitamins,1910,,1910,,https://en.wikipedia.org/wiki/Vitamin#%22Vitamine%22_to_vitamin,
Insulin,1921,,1921,,https://en.wikipedia.org/wiki/Insulin#Extraction_and_purification,
Penicillin,1928,,1928,,https://en.wikipedia.org/wiki/Penicillin,
DNA,1937,1953,1953,Role and structure of DNA,https://en.wikipedia.org/wiki/DNA#History,
Chemotherapy,1942,,1942,First chemotherapy clinical trial,https://en.wikipedia.org/wiki/History_of_cancer_chemotherapy#Beginnings,
Medical Ultrasound,1949,1963,1954,,https://en.wikipedia.org/wiki/Medical_ultrasound#History,
Kidney Transplant,1954,,1954,,https://en.wikipedia.org/wiki/Joseph_Murray#Career,
Pacemaker,1958,,1958,,https://en.wikipedia.org/wiki/History_of_medicine#Pacemaker,
Heart Transplant,3 dec 1967,,1967,,https://en.wikipedia.org/wiki/Heart_transplantation#History,
RNA and DNA sequencing,1967,1977,1968,First RNA and DNA sequencing (Sanger),https://en.wikipedia.org/wiki/Frederick_Sanger#Sequencing_RNA,
GMOs,1973,,1973,Genetically Modified Organisms,https://en.wikipedia.org/wiki/Genetically_modified_organism#History,
IVF,1978,,1978,First live IVF birth,https://en.wikipedia.org/wiki/In_vitro_fertilisation#History,
PCR,1985,,1985,Polymerase chain reaction,https://en.wikipedia.org/wiki/Polymerase_chain_reaction,
Gene Therapy,1990,,1990,,https://en.wikipedia.org/wiki/Gene_therapy#History,
Dolly the Sheep,1996,,1996,,https://en.wikipedia.org/wiki/Dolly_(sheep),
Human Genome,2001,,2001,,https://en.wikipedia.org/wiki/Craig_Venter#Human_Genome_Project,
mRNA Vaccines,Dec 2020,,2020,,https://en.wikipedia.org/wiki/MRNA_vaccine,
