label,description,hdate,hdate_end,hdate_birth,hdate_death,colour,url
Charlotte Brontë,,,,21 April 1816,31 March 1855,,https://en.wikipedia.org/wiki/Charlotte_Bront%C3%AB
Miss Wooler’s School,"Miss Wooler’s School, Roe Head (pupil)",Sep 1831,Jun 1832,,,,https://en.wikipedia.org/wiki/Bront%C3%AB_family#Miss_Wooler's_school
Miss Wooler’s School,"Miss Wooler’s School, Roe Head (assistant)",29 Jul 1835,1838,,,,https://en.wikipedia.org/wiki/Bront%C3%AB_family#Miss_Wooler's_school
Poems published,Poems published (authored by all three sisters),1846,,,,,"https://en.wikipedia.org/wiki/Bront%C3%AB_family#First_publication:_Poems,_by_Currer,_Ellis,_and_Acton_Bell"
Jane Eyre published,,1847,,,,,https://en.wikipedia.org/wiki/Jane_Eyre
Cowan Bridge School,Cowan Bridge School (Four eldest girls),Aug 1824,1825,,,,https://en.wikipedia.org/wiki/Bront%C3%AB_family#Cowan_Bridge_School
Marries,Marries Arthur Bell Nicholls,29 June 1854,,,,,https://en.wikipedia.org/wiki/Bront%C3%AB_family#Marriage_and_death
Shirley published,,1849,,,,,https://en.wikipedia.org/wiki/Shirley_(novel)
Villette published,,1853,,,,,https://en.wikipedia.org/wiki/Villette_(novel)
The Professor published,,1857,,,,,https://en.wikipedia.org/wiki/The_Professor_(novel)
Wrote first known poem,,1829,,,,,https://en.wikipedia.org/wiki/Charlotte_Bront%C3%AB#Early_years_and_education
Wrote The Green Dwarf,,1833,,,,,https://en.wikipedia.org/wiki/Charlotte_Bront%C3%AB#Early_years_and_education
Worked as governess,,1839,1841,,,,https://en.wikipedia.org/wiki/Charlotte_Bront%C3%AB#Early_years_and_education
Worked in Brussels,"Worked at and attended Constantin Héger school,Brussels",1842,1844,,,,https://en.wikipedia.org/wiki/Charlotte_Bront%C3%AB#Brussels_and_Haworth
Biography published,Elizabeth Gaskell’s biography of Charlotte published,1857,,,,,https://en.wikipedia.org/wiki/The_Life_of_Charlotte_Bront%C3%AB
