label,description,hdate,hdate_end,hdate_birth,hdate_death,colour,url
Patrick Brontë,Patrick Brontë (father),,,17 March 1777,7 June 1861,,https://en.wikipedia.org/wiki/Patrick_Bront%C3%AB
Maria Branwell,"Maria Brontë, née Branwell (mother)",,,15 April 1783,15 September 1821,,https://en.wikipedia.org/wiki/Maria_Branwell
Branwell Brontë,Branwell Brontë (brother),,,26 June 1817,24 September 1848,,https://en.wikipedia.org/wiki/Branwell_Bront%C3%AB
Maria Brontë,Maria Brontë (sister),,,23 April 1814,6 May 1825,,https://en.wikipedia.org/wiki/Maria_Bront%C3%AB
Elizabeth Brontë,Elizabeth Brontë (sister),,,8 February 1815,15 June 1825,,https://en.wikipedia.org/wiki/Elizabeth_Bront%C3%AB
Patrick and Maria marry,,29 Dec 1812,,,,,
Patrick ordained,,10 August 1806,,,,,
To Haworth,,1820,,,,,
Cowan Bridge School,Cowan Bridge School (Four eldest girls),Aug 1824,1825,,,,https://en.wikipedia.org/wiki/Bront%C3%AB_family#Cowan_Bridge_School
Branwell: tutor at Thorp Green Hall,,Jan 1843,Jul 1845,,,,https://en.wikipedia.org/wiki/Branwell_Bront%C3%AB#Adulthood
