label,hdate_birth,hdate_death,url
Agatha Christie,15 September 1890,12 January 1976,https://en.wikipedia.org/wiki/Agatha_Christie
Albert Camus,7 November 1913,4 January 1960,https://en.wikipedia.org/wiki/Albert_Camus
Alexandre Dumas,24 July 1802,5 December 1870,https://en.wikipedia.org/wiki/Alexandre_Dumas
Brontë sisters,Between 21 April 1816 and 17 January 1820,Between 19 December 1848 and 31 March 1855,https://en.wikipedia.org/wiki/Bront%C3%AB_family
Arthur Conan Doyle,22 May 1859,7 July 1930,https://en.wikipedia.org/wiki/Arthur_Conan_Doyle
Charles Dickens,7 February 1812,9 June 1870,https://en.wikipedia.org/wiki/Charles_Dickens
Dante Alighieri,Circa 1265,14 September 1321,https://en.wikipedia.org/wiki/Dante_Alighieri
Douglas Adams,11 March 1952,11 May 2001,https://en.wikipedia.org/wiki/Douglas_Adams
Edgar Allen Poe,19 January 1809,7 October 1849,https://en.wikipedia.org/wiki/Edgar_Allan_Poe
Ernest Hemingway,21 July 1899,2 July 1961,https://en.wikipedia.org/wiki/Ernest_Hemingway
F. Scott Fitzgerald,24 September 1896 ,21 December 1940,https://en.wikipedia.org/wiki/F._Scott_Fitzgerald
Franz Kafka,3 July 1883,3 June 1924,https://en.wikipedia.org/wiki/Franz_Kafka
Fyodor Dostoevsky,11 November 1821,9 February 1881,https://en.wikipedia.org/wiki/Fyodor_Dostoevsky
Gabriel García Márquez,6 March 1927,17 April 2014,https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez
George Eliot,22 November 1819,22 December 1880,https://en.wikipedia.org/wiki/George_Eliot
George Orwell,25 June 1903,21 January 1950,https://en.wikipedia.org/wiki/George_Orwell
Gustave Flaubert,12 December 1821,8 May 1880,https://en.wikipedia.org/wiki/Gustave_Flaubert
Herman Melville,1 August 1819,28 September 1891 ,https://en.wikipedia.org/wiki/Herman_Melville
Hermann Hesse,2 July 1877,9 August 1962,https://en.wikipedia.org/wiki/Hermann_Hesse
J.R.R. Tolkien,3 January 1892,2 September 1973,https://en.wikipedia.org/wiki/J._R._R._Tolkien
James Joyce,2 February 1882,13 January 1941,https://en.wikipedia.org/wiki/James_Joyce
Jane Austen,16 December 1775,18 July 1817,https://en.wikipedia.org/wiki/Jane_Austen
John Steinbeck,27 February 1902 ,20 December 1968 ,https://en.wikipedia.org/wiki/John_Steinbeck
Leo Tolstoy,9 September 1828,20 November 1910,https://en.wikipedia.org/wiki/Leo_Tolstoy
Mark Twain,30 November 1835 ,21 April 1910 ,https://en.wikipedia.org/wiki/Mark_Twain
Maya Angelou,4 April 1928 ,28 May 2014 ,https://en.wikipedia.org/wiki/Maya_Angelou
Miguel de Cervantes,29 September 1547,22 April 1616,https://en.wikipedia.org/wiki/Miguel_de_Cervantes
Oscar Wilde,16 October 1854,30 November 1900,https://en.wikipedia.org/wiki/Oscar_Wilde
Stephen King,21 September 1947 ,,https://en.wikipedia.org/wiki/Stephen_King
Victor Hugo,26 February 1802,22 May 1885,https://en.wikipedia.org/wiki/Victor_Hugo
Virginia Woolf,25 January 1882,28 March 1941,https://en.wikipedia.org/wiki/Virginia_Woolf
Mary Shelley,30 August 1797,1 February 1851,https://en.wikipedia.org/wiki/Mary_Shelley
Geoffrey Chaucer,Circa 1345,25 October 1400 ,https://en.wikipedia.org/wiki/Geoffrey_Chaucer
Joseph Conrad,3 December 1857,3 August 1924,https://en.wikipedia.org/wiki/Joseph_Conrad
Jonathan Swift,30 November 1667,19 October 1745,https://en.wikipedia.org/wiki/Jonathan_Swift
Daniel Defoe,Circa 1660,24 April 1731,https://en.wikipedia.org/wiki/Daniel_Defoe
Bram Stoker,8 November 1847,20 April 1912,https://en.wikipedia.org/wiki/Bram_Stoker
J.D. Salinger,1 January 1919 ,27 January 2010 ,https://en.wikipedia.org/wiki/J._D._Salinger
Harper Lee,28 April 1926 ,19 February 2016 ,https://en.wikipedia.org/wiki/Harper_Lee
