label,description,hdate,hdate_end,colour,url
Walpole,Robert Walpole,3 apr 1721,11 feb 1742,orange,https://en.wikipedia.org/wiki/Robert_Walpole
Compton,"Spencer Compton, Earl of Wilmington ",16 feb 1742,2 jul 1743,orange,"https://en.wikipedia.org/wiki/Spencer_Compton,_1st_Earl_of_Wilmington"
Pelham,Henry Pelham,27 aug 1743,6 mar 1754,orange,https://en.wikipedia.org/wiki/Henry_Pelham
Pelham-Holles,"Thomas Pelham-Holles, Duke of Newcastle",16 mar 1754,11 nov 1756,orange,"https://en.wikipedia.org/wiki/Thomas_Pelham-Holles,_1st_Duke_of_Newcastle"
Cavendish,"William Cavendish, Duke of Devonshire",16 nov 1756,29 jun 1757,orange,"https://en.wikipedia.org/wiki/William_Cavendish,_4th_Duke_of_Devonshire"
Pelham-Holles,"Thomas Pelham-Holles, Duke of Newcastle",29 jun 1757,26 May 1762,orange,"https://en.wikipedia.org/wiki/Thomas_Pelham-Holles,_1st_Duke_of_Newcastle"
Stuart,"John Stuart, Earl of Bute",26 May 1762,8 apr 1763,blue,"https://en.wikipedia.org/wiki/John_Stuart,_3rd_Earl_of_Bute"
Grenville,George Grenville,16 apr 1763,10 Jul 1765,orange,https://en.wikipedia.org/wiki/George_Grenville
Watson-Wentworth,"Charles Watson-Wentworth, Marquess of Rockingham",13 Jul 1765,30 Jul 1766,orange,"https://en.wikipedia.org/wiki/Charles_Watson-Wentworth,_2nd_Marquess_of_Rockingham"
Pitt the Elder,William Pitt the Elder,30 Jul 1766,14 Oct 1768,orange,"https://en.wikipedia.org/wiki/William_Pitt,_1st_Earl_of_Chatham"
FitzRoy,"Augustus FitzRoy, Duke of Grafton",14 Oct 1768,28 Jan 1770,orange,"https://en.wikipedia.org/wiki/Augustus_FitzRoy,_3rd_Duke_of_Grafton"
North,"Frederick North, Lord North",28 Jan 1770,27 Mar 1782,blue,"https://en.wikipedia.org/wiki/Frederick_North,_Lord_North"
Watson-Wentworth,"Charles Watson-Wentworth, Marquess of Rockingham",27 Mar 1782,1 Jul 1782,orange,"https://en.wikipedia.org/wiki/Charles_Watson-Wentworth,_2nd_Marquess_of_Rockingham"
Petty,"William Petty, Earl of Shelburne",4 Jul 1782,26 Mar 1783,orange,"https://en.wikipedia.org/wiki/William_Petty,_2nd_Earl_of_Shelburne"
Cavendish-Bentinck,"William Cavendish-Bentinck, Duke of Portland",2 apr 1783,18 dec 1783,orange,"https://en.wikipedia.org/wiki/William_Cavendish-Bentinck,_3rd_Duke_of_Portland"
Pitt the Younger,William Pitt the Younger,19 dec 1783,14 Mar 1801,blue,https://en.wikipedia.org/wiki/William_Pitt_the_Younger
Addington,Henry Addington,17 Mar 1801,10 May 1804,blue,https://en.wikipedia.org/wiki/Henry_Addington
Pitt the Younger,William Pitt the Younger,10 May 1804,23 Jan 1806,blue,https://en.wikipedia.org/wiki/William_Pitt_the_Younger
Grenville,"William Grenville, Baron Grenville",11 Feb 1806,25 Mar 1807,orange,"https://en.wikipedia.org/wiki/William_Grenville,_1st_Baron_Grenville"
Cavendish-Bentinck,"William Cavendish-Bentinck, Duke of Portland",31 Mar 1807,4 Oct 1809,blue,"https://en.wikipedia.org/wiki/William_Cavendish-Bentinck,_3rd_Duke_of_Portland"
Perceval,Spencer Perceval,4 Oct 1809,11 May 1812,blue,https://en.wikipedia.org/wiki/Spencer_Perceval
Jenkinson,"Robert Jenkinson, Earl of  Liverpool",8 Jun 1812,9 Apr 1827,blue,"https://en.wikipedia.org/wiki/Robert_Jenkinson,_2nd_Earl_of_Liverpool"
Canning,George Canning,12 Apr 1827,8 Aug 1827,blue,https://en.wikipedia.org/wiki/George_Canning
Robinson,"Frederick John Robinson, Viscount Goderich",31 Aug 1827,8 jan 1828,blue,"https://en.wikipedia.org/wiki/F._J._Robinson,_1st_Viscount_Goderich"
Wellesley,"Arthur Wellesley, Duke of Wellington",22 jan 1828,16 nov 1830,blue,"https://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
Grey,"Charles Grey, Earl Grey",22 nov 1830,9 jul 1834,orange,"https://en.wikipedia.org/wiki/Charles_Grey,_2nd_Earl_Grey"
Lamb,"William Lamb, Viscount Melbourne",16 jul 1834,14 nov 1834,orange,"https://en.wikipedia.org/wiki/William_Lamb,_2nd_Viscount_Melbourne"
Wellesley,"Arthur Wellesley, Duke of Wellington",17 nov 1834,9 dec 1834,blue,"https://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
Peel,Robert Peel,10 dec 1834,8 apr 1835,blue,https://en.wikipedia.org/wiki/Robert_Peel
Lamb,"William Lamb, Viscount Melbourne",18 apr 1835,30 aug 1841,orange,"https://en.wikipedia.org/wiki/William_Lamb,_2nd_Viscount_Melbourne"
Peel,Robert Peel,30 aug 1841,29 jun 1846,blue,https://en.wikipedia.org/wiki/Robert_Peel
Russell,"John Russell, Earl Russell",30 jun 1846,21 feb 1852,orange,"https://en.wikipedia.org/wiki/John_Russell,_1st_Earl_Russell"
Smith-Stanley,"Edward Smith-Stanley, Earl of Derby",23 feb 1852,17 dec 1852,blue,"https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_14th_Earl_of_Derby"
Hamilton-Gordon,"George Hamilton-Gordon, Earl of Aberdeen",19 dec 1852,30 jan 1855,blue,"https://en.wikipedia.org/wiki/George_Hamilton-Gordon,_4th_Earl_of_Aberdeen"
Temple,"Henry John Temple, Viscount Palmerston",6 feb 1855,19 feb 1858,orange,"https://en.wikipedia.org/wiki/Henry_John_Temple,_3rd_Viscount_Palmerston"
Smith-Stanley,"Edward Smith-Stanley, Earl of Derby",20 feb 1858,11 jun 1859,blue,"https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_14th_Earl_of_Derby"
Temple,"Henry John Temple, Viscount Palmerston",12 jun 1859,18 oct 1865,orange,"https://en.wikipedia.org/wiki/Henry_John_Temple,_3rd_Viscount_Palmerston"
Russell,"John Russell, Earl Russell",29 oct 1865,26 jun 1866,orange,"https://en.wikipedia.org/wiki/John_Russell,_1st_Earl_Russell"
Smith-Stanley,"Edward Smith-Stanley, Earl of Derby",28 jun 1866,25 feb 1868,blue,"https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_14th_Earl_of_Derby"
Disraeli,Benjamin Disraeli,27 feb 1868,1 dec 1868,blue,https://en.wikipedia.org/wiki/Benjamin_Disraeli
Gladstone,William Ewart Gladstone,3 dec 1868,17 feb 1874,orange,https://en.wikipedia.org/wiki/William_Ewart_Gladstone
Disraeli,Benjamin Disraeli,20 feb 1874,21 apr 1880,blue,https://en.wikipedia.org/wiki/Benjamin_Disraeli
Gladstone,William Ewart Gladstone,23 apr 1880,9 jun 1885,orange,https://en.wikipedia.org/wiki/William_Ewart_Gladstone
Gascoyne-Cecil,"Robert Gascoyne-Cecil, Marquess of Salisbury",23 jun 1885,28 jan 1886,blue,"https://en.wikipedia.org/wiki/Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury"
Gladstone,William Ewart Gladstone,1 feb 1886,20 jul 1886,orange,https://en.wikipedia.org/wiki/William_Ewart_Gladstone
Gascoyne-Cecil,"Robert Gascoyne-Cecil, Marquess of Salisbury",25 jul 1886,11 aug 1892,blue,"https://en.wikipedia.org/wiki/Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury"
Gladstone,William Ewart Gladstone,15 aug 1892,2 mar 1894,orange,https://en.wikipedia.org/wiki/William_Ewart_Gladstone
Primrose,"Archibald Primrose, Earl of Rosebery",5 mar 1894,22 jun 1895,orange,"https://en.wikipedia.org/wiki/Archibald_Primrose,_5th_Earl_of_Rosebery"
Gascoyne-Cecil,"Robert Gascoyne-Cecil, Marquess of Salisbury",25 jun 1895,11 jul 1902,blue,"https://en.wikipedia.org/wiki/Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury"
Balfour,Arthur Balfour,12 jul 1902,4 dec 1905,blue,https://en.wikipedia.org/wiki/Arthur_Balfour
Campbell-Bannerman,Henry Campbell-Bannerman,5 dec 1905,3 apr 1908,orange,https://en.wikipedia.org/wiki/Henry_Campbell-Bannerman
Asquith,Herbert Asquith,8 apr 1908,5 dec 1916,orange,https://en.wikipedia.org/wiki/H._H._Asquith
Lloyd George,David Lloyd George,6 dec 1916,19 oct 1922,orange,https://en.wikipedia.org/wiki/David_Lloyd_George
Bonar Law,Andrew Bonar Law,23 oct 1922,20 may 1923,blue,https://en.wikipedia.org/wiki/Bonar_Law
Baldwin,Stanley Baldwin,22 may 1923,22 jan 1924,blue,https://en.wikipedia.org/wiki/Stanley_Baldwin
MacDonald,Ramsay MacDonald,22 jan 1924,4 nov 1924,red,https://en.wikipedia.org/wiki/Ramsay_MacDonald
Baldwin,Stanley Baldwin,4 nov 1924,4 jun 1929,blue,https://en.wikipedia.org/wiki/Stanley_Baldwin
MacDonald,Ramsay MacDonald,5 jun 1929,7 jun 1935,red,https://en.wikipedia.org/wiki/Ramsay_MacDonald
Baldwin,Stanley Baldwin,7 jun 1935,28 may 1937,blue,https://en.wikipedia.org/wiki/Stanley_Baldwin
Chamberlain,Neville Chamberlain,28 may 1937,10 may 1940,blue,https://en.wikipedia.org/wiki/Neville_Chamberlain
Churchill,Winston Churchill,10 may 1940,26 jul 1945,blue,https://en.wikipedia.org/wiki/Winston_Churchill
Attlee,Clement Attlee,26 jul 1945,26 oct 1951,red,https://en.wikipedia.org/wiki/Clement_Attlee
Churchill,Winston Churchill,26 oct 1951,5 apr 1955,blue,https://en.wikipedia.org/wiki/Winston_Churchill
Eden,Anthony Eden,6 apr 1955,9 jan 1957,blue,https://en.wikipedia.org/wiki/Anthony_Eden
Macmillan,Harold Macmillan,10 jan 1957,18 oct 1963,blue,https://en.wikipedia.org/wiki/Harold_Macmillan
Douglas-Home,Alec Douglas-Home,18 oct 1963,16 oct 1964,blue,https://en.wikipedia.org/wiki/Alec_Douglas-Home
Wilson,Harold Wilson,16 oct 1964,19 jun 1970,red,https://en.wikipedia.org/wiki/Harold_Wilson
Heath,Edward  Heath,19 jun 1970,4 mar 1974,blue,https://en.wikipedia.org/wiki/Edward_Heath
Wilson,Harold Wilson,4 mar 1974,5 apr 1976,red,https://en.wikipedia.org/wiki/Harold_Wilson
Callaghan,James Callaghan,5 apr 1976,4 may 1979,red,https://en.wikipedia.org/wiki/James_Callaghan
Thatcher,Margaret Thatcher,4 may 1979,28 nov 1990,blue,https://en.wikipedia.org/wiki/Margaret_Thatcher
Major,John Major,28 nov 1990,2 may 1997,blue,https://en.wikipedia.org/wiki/John_Major
Blair,Tony Blair,2 may 1997,27 jun 2007,red,https://en.wikipedia.org/wiki/Tony_Blair
