label,hdate,hdate_end,url
Battle of Hastings,14 Oct 1066,14 Oct 1066,https://en.wikipedia.org/wiki/Battle_of_Hastings
Domesday book,1085,1086,https://en.wikipedia.org/wiki/Domesday_Book
The Anarchy,1138,1153,https://en.wikipedia.org/wiki/The_Anarchy
Murder of Thomas Becket,29 Dec 1170,,https://en.wikipedia.org/wiki/Thomas_Becket
Magna Carta,15 Jun 1215,,https://en.wikipedia.org/wiki/Magna_Carta
First War of Scottish Independence,1296,1328,https://en.wikipedia.org/wiki/First_War_of_Scottish_Independence
William Wallace Executed,23 Aug 1305,,https://en.wikipedia.org/wiki/William_Wallace
Battle of Bannockburn,23 Jun 1314,24 Jun 1314,https://en.wikipedia.org/wiki/Battle_of_Bannockburn
Hundred years war,1337,1453,https://en.wikipedia.org/wiki/Hundred_Years%27_War
The Black Death,1346,1353,https://en.wikipedia.org/wiki/Black_Death
Peasants revolt,30 may 1381,Between 25 jun 1381 and 26 jun 1381,https://en.wikipedia.org/wiki/Peasants%27_Revolt
Agincourt,25 Oct 1415,,https://en.wikipedia.org/wiki/Battle_of_Agincourt
Wars of the Roses,22 May 1455,16 Jun 1487,https://en.wikipedia.org/wiki/Wars_of_the_Roses
Battle of Bosworth Field,22 Aug 1485,,https://en.wikipedia.org/wiki/Battle_of_Bosworth_Field
Execution of Mary Queen of Scots,8 Feb 1587,,"https://en.wikipedia.org/wiki/Mary,_Queen_of_Scots"
Spanish Armada,28 May 1588,8 Aug 1588,https://en.wikipedia.org/wiki/Spanish_Armada
Gunpowder Plot,5 Nov 1605,,https://en.wikipedia.org/wiki/Gunpowder_Plot
Colony of Virginia established,1606,1607,https://en.wikipedia.org/wiki/Colony_of_Virginia
English Civil Wars,1642,1651,https://en.wikipedia.org/wiki/English_Civil_War
Fire of London,2 sep 1666,6 sep 1666,https://en.wikipedia.org/wiki/Great_Fire_of_London
Glorious Revolution,1688,,https://en.wikipedia.org/wiki/Glorious_Revolution
Bank of England Established,27 Jul 1694,,https://en.wikipedia.org/wiki/Bank_of_England
Acts of Union 1706,1706,1707,https://en.wikipedia.org/wiki/Acts_of_Union_1707
War of Spanish Succession,1701,1715,https://en.wikipedia.org/wiki/War_of_the_Spanish_Succession
American War of Independence,19 Apr 1775,3 Sep 1783,https://en.wikipedia.org/wiki/American_Revolutionary_War
The Iron Bridge opened,1781,,https://en.wikipedia.org/wiki/The_Iron_Bridge
United Kingdom founded,1 Jan 1801,,https://en.wikipedia.org/wiki/Acts_of_Union_1800
Battle of Trafalgar,21 Oct 1805,,https://en.wikipedia.org/wiki/Battle_of_Trafalgar
Battle of Waterloo,18 Jun 1815,,https://en.wikipedia.org/wiki/Battle_of_Waterloo
Conservative party founded,1834,,https://en.wikipedia.org/wiki/Conservative_Party_(UK)
Crimean War,Oct 1853,Feb 1856,https://en.wikipedia.org/wiki/Crimean_War
Labour party founded,Circa 1900,,https://en.wikipedia.org/wiki/Labour_Party_(UK)
Titanic sinks,15 Apr 1912,,https://en.wikipedia.org/wiki/Titanic
World War I,28 Jul 1914,11 Nov 1918,https://en.wikipedia.org/wiki/World_War_I
Equal votes for women,1928,,https://en.wikipedia.org/wiki/Representation_of_the_People_(Equal_Franchise)_Act_1928
General Strike,4 May 1926,12 May 1926,https://en.wikipedia.org/wiki/1926_United_Kingdom_general_strike
World War II,1 Sep 1939,14 Aug 1945,https://en.wikipedia.org/wiki/World_War_II
Indian independence,15 Aug 1947,,https://en.wikipedia.org/wiki/Independence_Day_(India)
NHS founded,5 Jul 1948,,https://en.wikipedia.org/wiki/National_Health_Service
Death penalty abolished,1969,,https://en.wikipedia.org/wiki/Capital_punishment_in_the_United_Kingdom
UK joins EEC,1 Jan 1973,,https://en.wikipedia.org/wiki/Accession_of_the_United_Kingdom_to_the_European_Communities
Falklands conflict,2 Apr 1982,14 Jun 1982,https://en.wikipedia.org/wiki/Falklands_War
Miners strike,6 Mar 1984,3 Mar 1985,https://en.wikipedia.org/wiki/UK_miners%27_strike_(1984%E2%80%9385)
Handover of Hong Kong,1 Jul 1997,,https://en.wikipedia.org/wiki/Handover_of_Hong_Kong
Good Friday agreement,10 Apr 1998,,https://en.wikipedia.org/wiki/Good_Friday_Agreement
Iraq war,20 Mar 2003,Dec 2011,https://en.wikipedia.org/wiki/Iraq_War
EU referendum,23 Jun 2016,,https://en.wikipedia.org/wiki/2016_United_Kingdom_European_Union_membership_referendum
UK leaves EU,31 Jan 2020,,https://en.wikipedia.org/wiki/2016_United_Kingdom_European_Union_membership_referendum
Coronavirus pandemic,Jan 2020,5 may 2023,https://en.wikipedia.org/wiki/COVID-19_pandemic
Maastricht Treaty,7 Feb 1992,,https://en.wikipedia.org/wiki/Maastricht_Treaty
