label,hdate,hdate_end,description,abbreviation,url
Europe 2020: ITA,11 June 2021,11 July 2021,Italy 1-1 England aet Pens 3-2,ITA,https://en.wikipedia.org/wiki/UEFA_Euro_2020
France 2016: POR,10 June 2016,10 July 2016,Portugal 1-0 France aet,POR,https://en.wikipedia.org/wiki/UEFA_Euro_2016
Poland/Ukraine 2012: ESP,8 June 2012,1 July 2012,Spain 4-0 Italy,ESP,https://en.wikipedia.org/wiki/UEFA_Euro_2012
Austria/Switzerland 2008: ESP,7 June 2008,29 June 2008,Spain 1-0 Germany,ESP,https://en.wikipedia.org/wiki/UEFA_Euro_2008
Portugal 2004: GRE,12 June 2004,4 July 2004,Greece 1-0 Portugal,GRE,https://en.wikipedia.org/wiki/UEFA_Euro_2004
Belgium/Netherlands 2000: FRA,10 June 2000,2 July 2000,France 2-1 Italy aet (gg),FRA,https://en.wikipedia.org/wiki/UEFA_Euro_2000
England 1996: GER,8 June 1996,30 June 1996,Germany 2-1 Czech Republic aet (gg),GER,https://en.wikipedia.org/wiki/UEFA_Euro_1996
Sweden 1992: DEN,10 June 1992,26 June 1992,Denmark 2-0 Germany,DEN,https://en.wikipedia.org/wiki/UEFA_Euro_1992
W. Germany 1988: NED,10 June 1988,25 June 1988,Netherlands 2-0 Soviet Union,NED,https://en.wikipedia.org/wiki/UEFA_Euro_1988
France 1984: FRA,12 June 1984,27 June 1984,France 2-0 Spain,FRA,https://en.wikipedia.org/wiki/UEFA_Euro_1984
Italy 1980: FRG,11 June 1980,22 June 1980,W. Germany 2-1 Belgium,FRG,https://en.wikipedia.org/wiki/UEFA_Euro_1980
Yugoslavia 1976: CZE,16 June 1976,20 June 1976,Czechoslovakia 2-2 W. Germany aet pens 5-3,CZE,https://en.wikipedia.org/wiki/UEFA_Euro_1976
Belgium 1972: FRG,14 June 1972,18 June 1972,W. Germany 3-0 Soviet Union,FRG,https://en.wikipedia.org/wiki/UEFA_Euro_1972
Italy 1968: ITA,5 June 1968,10 June 1968,Italy 1-1 Yugoslavia aet Replay 2-0,ITA,https://en.wikipedia.org/wiki/UEFA_Euro_1968
Spain 1964: ESP,17 June 1964,21 June 1964,Spain 2-1 Soviet Union,ESP,https://en.wikipedia.org/wiki/1964_European_Nations%27_Cup
France 1960: URS,6 July 1960,10 July 1960,Soviet Union 2-1 Yugoslavia aet,URS,https://en.wikipedia.org/wiki/1960_European_Nations%27_Cup
