label,hdate,hdate_end,description,colour,url
2023: MNC,5 August 2022,28 May 2023,Manchester City,#6CABDD ,https://en.wikipedia.org/wiki/2022%E2%80%9323_Premier_League
2022: MNC,13 August 2021,22 May 2022,Manchester City,#6CABDD ,https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League
2021: MNC,12 September 2020,23 May 2021,Manchester City,#6CABDD ,https://en.wikipedia.org/wiki/2020%E2%80%9321_Premier_League
2020: LIV,9 August 2019,26 July 2020,Liverpool,#c8102E ,https://en.wikipedia.org/wiki/2019%E2%80%9320_Premier_League
2019: MNC,10 August 2018,12 May 2019,Manchester City,#6CABDD ,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018: MNC,11 August 2017,13 May 2018,Manchester City,#6CABDD ,https://en.wikipedia.org/wiki/2017%E2%80%9318_Premier_League
2017: CHE,13 August 2016,21 May 2017,Chelsea,#034694 ,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016: LEI,8 August 2015,17 May 2016,Leicester City,#003090 ,https://en.wikipedia.org/wiki/2015%E2%80%9316_Premier_League
2015: CHE,16 August 2014,24 May 2015,Chelsea,#034694 ,https://en.wikipedia.org/wiki/2014%E2%80%9315_Premier_League
2014: MNC,17 August 2013,11 May 2014,Manchester City,#6CABDD ,https://en.wikipedia.org/wiki/2013%E2%80%9314_Premier_League
2013: MNU,18 August 2012,19 May 2013,Manchester United,#DA291C ,https://en.wikipedia.org/wiki/2012%E2%80%9313_Premier_League
2012: MNC,13 August 2011,13 May 2012,Manchester City,#6CABDD ,https://en.wikipedia.org/wiki/2011%E2%80%9312_Premier_League
2011: MNU,14 August 2010,22 May 2011,Manchester United,#DA291C ,https://en.wikipedia.org/wiki/2010%E2%80%9311_Premier_League
2010: CHE,15 August 2009,9 May 2010,Chelsea,#034694 ,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009: MNU,16 August 2008,24 May 2009,Manchester United,#DA291C ,https://en.wikipedia.org/wiki/2008%E2%80%9309_Premier_League
2008: MNU,11 August 2007,11 May 2008,Manchester United,#DA291C ,https://en.wikipedia.org/wiki/2007%E2%80%9308_Premier_League
2007: MNU,19 August 2006,13 May 2007,Manchester United,#DA291C ,https://en.wikipedia.org/wiki/2006%E2%80%9307_FA_Premier_League
2006: CHE,13 August 2005,7 May 2006,Chelsea,#034694 ,https://en.wikipedia.org/wiki/2005%E2%80%9306_FA_Premier_League
2005: CHE,14 August 2004,15 May 2005,Chelsea,#034694 ,https://en.wikipedia.org/wiki/2004%E2%80%9305_FA_Premier_League
2004: ARS,16 August 2003,15 May 2004,Arsenal,#EF0107 ,https://en.wikipedia.org/wiki/2003%E2%80%9304_FA_Premier_League
2003: MNU,17 August 2002,11 May 2003,Manchester United,#DA291C ,https://en.wikipedia.org/wiki/2002%E2%80%9303_FA_Premier_League
2002: ARS,18 August 2001,11 May 2002,Arsenal,#EF0107 ,https://en.wikipedia.org/wiki/2001%E2%80%9302_FA_Premier_League
2001: MNU,19 August 2000,19 May 2001,Manchester United,#DA291C ,https://en.wikipedia.org/wiki/2000%E2%80%9301_FA_Premier_League
2000: MNU,7 August 1999,14 May 2000,Manchester United,#DA291C ,https://en.wikipedia.org/wiki/1999%E2%80%932000_FA_Premier_League
1999: MNU,15 August 1998,16 May 1999,Manchester United,#DA291C ,https://en.wikipedia.org/wiki/1998%E2%80%9399_FA_Premier_League
1998: ARS,9 August 1997,10 May 1998,Arsenal,#EF0107 ,https://en.wikipedia.org/wiki/1997%E2%80%9398_FA_Premier_League
1997: MNU,17 August 1996,11 May 1997,Manchester United,#DA291C ,https://en.wikipedia.org/wiki/1996%E2%80%9397_FA_Premier_League
1996: MNU,19 August 1995,05 May 1996,Manchester United,#DA291C ,https://en.wikipedia.org/wiki/1995%E2%80%9396_FA_Premier_League
1995: BLA,20 August 1994,14 May 1995,Blackburn Rovers,#009EE0 ,https://en.wikipedia.org/wiki/1994%E2%80%9395_FA_Premier_League
1994: MNU,14 August 1993,08 May 1994,Manchester United,#DA291C ,https://en.wikipedia.org/wiki/1993%E2%80%9394_FA_Premier_League
1993: MNU,15 August 1992,11 May 1993,Manchester United,#DA291C ,https://en.wikipedia.org/wiki/1992%E2%80%9393_FA_Premier_League
