label,hdate,hdate_end,description,url,abbreviation
2023: MNC,3 June 2023,,Manchester City 2-1 Manchester United,https://en.wikipedia.org/wiki/2022%E2%80%9323_FA_Cup,MNC
2022: LIV,14 May 2022,,Liverpool 0-0 Chelsea aet Pens 6-5,https://en.wikipedia.org/wiki/2021%E2%80%9322_FA_Cup,LIV
2021: LEI,15 May 2021,,Leicester City 1-0 Chelsea,https://en.wikipedia.org/wiki/2020%E2%80%9321_FA_Cup,LEI
2020: ARS,1 August 2020,,Arsenal 2-1 Chelsea,https://en.wikipedia.org/wiki/2019%E2%80%9320_FA_Cup,ARS
2019: MNC,18 May 2019,,Manchester City 6-0 Watford,https://en.wikipedia.org/wiki/2018%E2%80%9319_FA_Cup,MNC
2018: CHE,19 May 2018,,Chelsea 1-0 Manchester United,https://en.wikipedia.org/wiki/2017%E2%80%9318_FA_Cup,CHE
2017: ARS,27 May 2017,,Arsenal 2-1 Chelsea,https://en.wikipedia.org/wiki/2016%E2%80%9317_FA_Cup,ARS
2016: MNU,21 May 2016,,Manchester United 2-1 Crystal Palace aet,https://en.wikipedia.org/wiki/2015%E2%80%9316_FA_Cup,MNU
2015: ARS,30 May 2015,,Arsenal 4-0 Aston Villa,https://en.wikipedia.org/wiki/2014%E2%80%9315_FA_Cup,ARS
2014: ARS,17 May 2014,,Arsenal 3-2 Hull City aet,https://en.wikipedia.org/wiki/2013%E2%80%9314_FA_Cup,ARS
2013: WIG,11 May 2013,,Wigan Athletic 1-0 Manchester City,https://en.wikipedia.org/wiki/2012%E2%80%9313_FA_Cup,WIG
2012: CHE,5 May 2012,,Chelsea 2-1 Liverpool,https://en.wikipedia.org/wiki/2011%E2%80%9312_FA_Cup,CHE
2011: MNC,14 May 2011,,Manchester City 1-0 Stoke City,https://en.wikipedia.org/wiki/2010%E2%80%9311_FA_Cup,MNC
2010: CHE,15 May 2010,,Chelsea 1-0 Portsmouth,https://en.wikipedia.org/wiki/2009%E2%80%9310_FA_Cup,CHE
2009: CHE,30 May 2009,,Chelsea 2-1 Everton,https://en.wikipedia.org/wiki/2008%E2%80%9309_FA_Cup,CHE
2008: POR,17 May 2008,,Portsmouth 1-0 Cardiff City,https://en.wikipedia.org/wiki/2007%E2%80%9308_FA_Cup,POR
2007: CHE,19 May 2007,,Chelsea 1-0 Manchester United aet,https://en.wikipedia.org/wiki/2006%E2%80%9307_FA_Cup,CHE
2006: LIV,13 May 2006,,Liverpool 3-3 Wigan Athletic aet Pens 3-1,https://en.wikipedia.org/wiki/2005%E2%80%9306_FA_Cup,LIV
2005: ARS,21 May 2005,,Arsenal 0-0 Manchester United aet Pens 5-4,https://en.wikipedia.org/wiki/2004%E2%80%9305_FA_Cup,ARS
2004: MNU,22 May 2004,,Manchester United 3-0 Millwall,https://en.wikipedia.org/wiki/2003%E2%80%9304_FA_Cup,MNU
2003: ARS,17 May 2003,,Arsenal 1-0 Southampton,https://en.wikipedia.org/wiki/2002%E2%80%9303_FA_Cup,ARS
2002: ARS,4 May 2002,,Arsenal 2-0 Chelsea,https://en.wikipedia.org/wiki/2001%E2%80%9302_FA_Cup,ARS
2001: LIV,12 May 2001,,Liverpool 2-1 Arsenal,https://en.wikipedia.org/wiki/2000%E2%80%9301_FA_Cup,LIV
2000: CHE,20 May 2000,,Chelsea 1-0 Aston Villa,https://en.wikipedia.org/wiki/1999%E2%80%932000_FA_Cup,CHE
1999: MNU,22 May 1999,,Manchester United 2-0 Newcastle United,https://en.wikipedia.org/wiki/1998%E2%80%9399_FA_Cup,MNU
1998: ARS,16 May 1998,,Arsenal 2-0 Newcastle United,https://en.wikipedia.org/wiki/1997%E2%80%9398_FA_Cup,ARS
1997: CHE,17 May 1997,,Chelsea 2-0 Middlesborough,https://en.wikipedia.org/wiki/1996%E2%80%9397_FA_Cup,CHE
1996: MNU,11 May 1996,,Manchester United 1-0 Liverpool,https://en.wikipedia.org/wiki/1995%E2%80%9396_FA_Cup,MNU
1995: EVE,20 May 1995,,Everton 1-0 Manchester United,https://en.wikipedia.org/wiki/1994%E2%80%9395_FA_Cup,EVE
1994: MNU,14 May 1994,,Manchester United 4-0 Chelsea,https://en.wikipedia.org/wiki/1993%E2%80%9394_FA_Cup,MNU
1993: ARS,15 May 1993,20 May 1993,Arsenal 2-1 Sheffield Wednesday aet (replay),https://en.wikipedia.org/wiki/1992%E2%80%9393_FA_Cup,ARS
