abbreviation,team,colour
AAR,Aarau,
ACC,Accrington ,
AJA,Ajaccio ,
AFC,Ajax,#D2122E
ALM,Almeria ,
AME,America ,
AKP,Amkar Perm,
ARS,Arsenal ,#EF0107
ARS,Arsenal Tula,
AST,Aston Villa ,#670E36 
ATA,Atalanta ,
ABB,Athletic Bilbao ,
AMD,Atletico Madrid ,
AUG,Augsburg,
BAR,Barcelona ,#a50044
BAR,Barnsley ,
BAS,Basel,
BAS,Bastia ,
BAY,Bayer Leverkusen ,
MUN,Bayern Munich ,#dc052d
BES,Besiktas,
BIR,Birmingham ,
BLA,Blackburn Rovers,#009EE0
BLA,Blackpool ,
BOL,Bolton Wanderers ,
BOR,Bordeaux ,
DOR,Borussia Dortmund ,#FDE100
MON,Borussia Monchengladbach ,
BOU,Bournemouth ,
BRA,Bradford City ,
BRE,Brentford ,
BHA,Brighton ,
BRI,Bristol City ,
BUR,Burnley ,
BUR,Bursaspor,
BUR,Burton Albion ,
BUR,Bury ,
CAE,Caen ,
CAG,Cagliari ,
CAM,Cambridge United,
CAR,Cardiff City ,
CAR,Carlisle United ,
CLV,Celta Vigo ,
CES,Cesena ,
CHA,Charlton,
CHE,Chelsea ,#034694
CHL,Cheltenham ,
CHE,Chesterfield,
CHF,Chicago Fire,
CHV,Chievo ,
COL,Colchester United ,
CRP,Colorado Rapids,
CCR,Columbus Crew ,
COD,Cordoba ,
COV,Coventry City ,
CRA,Crawley Town ,
CRE,Crewe ,
PAL,Crystal Palace ,
CKM,CSKA Moscow ,
DAG,Dagenham and Redbridge,
FCD,Dallas,
DCU,DC United,
DEP,Deportivo ,
DER,Derby County ,#000000 
DON,Doncaster ,
DNM,Dynamo Moscow ,
SJE,Earthquakes,
EBA,Eibar ,
EIN,Eintracht Frankfurt ,
ELE,Elche ,
EMP,Empoli ,
ESP,Espanyol ,
EVE,Everton ,#003399 
EVA,Evian ,
EXE,Exeter,
FEN,Fenerbahce,
FIR,Fiorentina,
FLE,Fleetwood,
FRE,Freiburg,
FUL,Fulham,
GAL,Galatasaray ,
GAL,Gallen ,
GAZ,Gaziantepspor,
GEN,Genoa ,
GET,Getafe ,
GIL,Gillingham ,
GRA,Granada ,
GRA,Grasshoppers ,
GUN,Guingamp,
HAM,Hamburger ,
HAN,Hannover ,
HAR,Hartlepool ,
VER,Hellas Verona ,
HER,Hertha ,
HOF,Hoffenheim ,
HSD,Houston Dynamo ,
HUD,Huddersfield ,
HUL,Hull City ,
INT,Inter Milan,
IPS,Ipswich,#0e00f7 
ISB,Istanbul Buyuksehir,
JUV,Juventus ,
KOL,Koln ,
KRA,Krasnodar,
KKA,Kuban Krasnodar,
LGX,LA Galaxy ,
LAZ,Lazio ,
LEE,Leeds United,#1D428A 
LEI,Leicester City ,#003090 
LEN,Lens ,
LEV,Levante ,
LEY,Leyton Orient ,
LIL,Lille ,
LIV,Liverpool ,#c8102E
LKM,Lokomotiv Moscow ,
LOR,Lorient ,
LUC,Lucerne ,
LUT,Luton ,
LYN,Lyon ,
MAI,Mainz,
MAL,Malaga ,
MNC,Manchester City ,#6CABDD
MNU ,Manchester United ,#DA291C
MAN,Mansfield Town ,
MAR,Marseille ,#2FAEE0
MET,Metz,
MID,Middlesbrough,
MIL,Milan ,
MIL,Millwall,
MKD,MK Dons ,
MON,Monaco ,
MOT,Montpellier ,
MTI,Montreal Impact ,
MOR,Mordovia ,
MOR,Morecambe ,
NAN,Nantes,
